aaa

Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,6,6,10,13,10,21,24,27,40,56,66,32,48,51,49,84,40,72,76,50,36,19,39,40,63,73,77,48,60,54,71,52,67,61,59,93,61,73,103

Morocco,0,0,0,0,0,0,0,0,2,5,9,13,24,18,104,47,54,38,71,80,120,82,124,122,131,198,365,241,223,167,345,358,446,304,298,321,272,351,460,349,421,459,427,437,462,467,479,505,542,643,650,622,754,702,773,1437

Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,4,3,3,2,0,1,1,0,9,19,18,14,15,18,10,17,14,22,19,20,25,31,50,43,54,59,65,64,89,67,66,95,105,135,162,149
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,44,63,54,42,97,40,67,62,89,110,113,172,263,320,396,369,425,445,405,385,396,381,358,418,342,516,449,518,507,574,511,562,572

Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,21,7,10,8,17,11,25,32,80,22,124,31,23,14,18,33,43,23,58,77,116,70,70,84,59,115,73,95
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,4,2,8,12,9,10,12,3,7,9,42,21,8,58,46,43,80,58,52,56,31,3,10,8,16,24,32,18,8,30,27,20,32,41,24,15,20,35,50,39,38
Nigeria,0,0,0,0,0,3,3,3,1,1,6,31,31,27,106,54,54,77,56,55,228,194,179,212,299,410,454,705,808,824,1328,1573,1212,1217,1078,1598,1463,760,824,1432,1235,2290,1366,1052,555,659,764,977,1516,2313,2901,3522,4055,3702,3480,3777
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,18,36,33,38,41,71,70,45,37,40,63,61,71,58,65,66
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,1,1,3,7,2,0,3,5,2,6,22,43,68,16,19,30,20,30,38,32,70,43,36,40,19,14,17,20,48,47,37,32,30,31,35,47,53,127
Senegal,0,0,0,0,0,0,0,0,0,0,2,0,1,2,41,8,9,9,8,10,8,18,15,9,18,18,41,58,53,105,67,90,84,123,128,143,145,165,190,162,254,210,179,176,227,187,208,216,243,275,302,322,772,519,426,635
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,1,5,12,0,7,0,2,23,16,12,5,12,6,8,15,39,53,61,48,51,34,88,46,47,50,41,39,48,43,47,34,38,38,64,55,49,39,55,43,59,52,76,54,76

Somalia,0,0,0,0,0,0,0,0,0,0,0,1,2,2,13,1,3,1,7,3,13,16,10,5,8,10,8,28,16,35,17,32,36,43,27,51,51,50,55,49,39,15,19,12,18,14,8,10,11,16,11,6,24,37,15,10
Somali Sudan,0,0,2,1,8,0,1,21,4,9,9,27,26,41,31,44,67,34,73,54,55,52,79,98,109,135,161,201,178,197,257,239,249,299,328,250,233,253,200,265,249,272,256,243,145,161,155,135,185,196,219,247,288,347,300,448
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,24,29,44,94,109,68,79,87,213,177,146,35,17,14,7,10,15,19,31,32,33,37,27,36,77,25,27,38,42,110,44,38
Swazilasantome · Principendo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,4,1,2,0,0,2,1,3,7,4,4,4,3,4,3,7,6,6,7,2,5,7,12,13,23
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7,9,11,22,26,45,37,33,27,31,28,34,46,24,25,47,50,52,54,35,56,41,23,43,31,46,61,35
Tanzania,0,0,0,0,0,0,0,1,2,2,0,1,13,20,39,41,42,47,69,80,244,85,93,117,153,134,120,142,228,167,201,214,200,232,249,237,260,241,252,339,328,324,326,390,416,445,465,438,634,596,600,587,533,668,662,801
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,4,2,10,5,4,5,4,6,4,9,3,6,16,9,17,24,16,21,20,43,21,25,24,113,87,29,23,22,32,27,32,51,57,46,36,76,49,70,44,54
Tunisia,0,0,0,0,0,0,0,0,1,5,6,7,11,23,40,19,25,27,61,54,52,46,108,76,61,103,125,195,150,217,248,262,349,286,517,387,260,233,296,309,370,339,408,525,478,520,632,635,534,722,778,723,1081,748,959,1082
Uganda,0,0,0,0,0,0,0,0,1,1,1,0,0,9,35,63,31,22,46,44,186,66,73,77,106,81,101,106,123,76,96,103,130,164,133,130,87,113,172,138,192,193,314,375,508,1076,483,624,509,638,778,316,379,451,725,934
South Africa Republic,22,172,113,199,106,163,217,313,325,425,493,581,952,1149,1584,1642,1804,2035,2611,2873,3796,2936,3130,4177,4342,4365,3203,3157,3512,3037,4386,6717,8188,9258,8352,3895,2729,2083,1823,1723,2011,2461,3035,2997,3117,3171,3189,3649,3507,3337,4357,4365,4639,4529,5072,5941
Egypt,13,31,6,25,29,37,25,85,108,121,257,263,289,252,379,220,270,187,218,415,603,479,423,442,595,939,1331,1477,1582,1483,1855,2188,2070,3128,2891,2912,1957,2010,1769,1884,1827,1503,1972,2170,2452,2325,2324,2467,2779,2922,2854,2721,2855,2775,2815,3321
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,1,13,6,17,12,1,1,9,3,3,5,5,8,4,4,5,48,22,15,13,23,14,25,94,102,19,9,35,72,33,42,51,57,51,55,47,53,80,51,60,51,88,141,43,89
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,14,23,157,39,41,62,74,69,65,70,63,69,153,87,113,132,137,160,130,133,188,246,270,188,205,220,310,313,199,220,271,238,300,283,283,346,329,402
Zimbabwe,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,164,130,152,148,201,166,182,193,276,214,211,201,227,263,258,317,378,279,325,290,282,246,274,288,372
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,21,35,11,17,14,13,23,20,13,21,31,14,41,22,44,21,66,25,32,45,42,72,258,208,164,232,614
