Togo,6.1377778,1.2125
Thailand,13.7278956,100.5241235
Tajikistan,38.5366667,68.78
East Timor,-8.558458,125.578151
Turkmenistan,37.9333333,58.3666667
Tunisia,36.81881,10.16596
Tonga,-21.1333333,-175.2
Turkey,39.92077,32.85411
Trinidad and Tobago,10.6666667,-61.5166667
Tuvalu,-8.5259606,179.1955922
Taiwan,25.091075,121.5598345
Tanzania,-6.1730556,35.7419444
Ukraine,50.4501,30.5234
Uganda,0.3136111,32.5811111
United States,38.8951118,-77.0363658
Uruguay,-34.8836111,-56.1819444
Uzbekistan,41.2666667,69.2166667
Vatican City,41.902916,12.453389
Saint Vincent,13.155322,-61.224367
Venezuela,10.491016,-66.902061
Viet Nam,21.0333333,105.85
Vanuatu,-17.734818,168.3220289
Samoa,-13.8333333,-171.75
Yemen,15.352029,44.207456
South Africa,-25.73134,28.21837
Zambia,-15.408193,28.287167
Zimbabwe,-17.82922,31.053961
Serbia and Montenegro,44.8205556,20.4622222
Czech Slovakia,,
Hong Kong,22.278381,114.174287
Yugoslavia,,
